"life_exp","exp_edu","gni","mm_ratio","adol_birth","parliament","edu_ratio","labour_ratio"
70.4,12.3,97,84,34.8,24.7,0.980295566502463,0.701986754966887
74.9,14.4,32,16,16.9,34,0.793478260869565,0.730706075533662
79.4,13.8,170,80,43.1,48.9,0.942893401015228,0.62
79.3,13.8,57,16,12,3.1,0.956678700361011,0.328631875881523
79.4,13.9,41,38,60.8,33.3,1.0039603960396,0.589873417721519
75.4,15.1,49,23,31.6,3.1,0.920118343195266,0.22554347826087
74.2,14.2,54,110,83.2,17,1.11417322834646,0.64520202020202
75.3,14.5,63,20,30.9,14.4,0.65,0.415254237288136
74.9,13.7,189,29,16.9,5.8,0.951570680628272,0.46002621231979
76.8,13.1,53,49,63.4,37.1,0.919141914191419,0.564455569461827
74.5,15.2,48,69,70.8,9.6,1.04198473282443,0.735148514851485
74.9,13.8,168,41,46.8,11.3,0.967637540453074,0.752330226364847
70.8,11.9,56,26,40,15.6,0.962012320328542,0.903735632183908
74,13.5,26,50,26.5,11.6,0.885350318471338,0.234234234234234
75.4,13.4,28,7,18.3,33.3,0.723021582733813,0.638518518518518
71,15.1,183,23,25.7,11.8,0.956204379562044,0.795216741405082
74.8,14,38,89,10,25.7,0.861290322580645,0.210526315789474
74.6,13.1,25,89,50.7,22.3,0.851739788199697,0.808056872037915
77.8,11.8,192,21,15.3,20.7,0.930602957906712,0.685496183206107
74.7,12.3,182,29,27.1,10.7,0.989473684210526,0.746556473829201
76.5,13.6,187,8,15.1,19.3,0.643266475644699,0.595113438045375
75.9,14.2,22,87,77,41.6,1.01776649746193,0.66142684401451
75.8,13.1,35,32,8.6,23.6,0.816411682892907,0.816091954022989
70,15.7,173,59,42.8,14,0.995348837209302,0.520833333333333
69.4,14.6,23,68,18.7,14.9,1.01426872770511,0.816738816738817
74.4,13.5,40,26,41,6.1,0.875,0.796778190830235
71.6,14,47,15,2.5,16,1.32458233890215,0.392670157068063
74.8,14.6,20,46,4.6,31.3,0.711496746203904,0.354019746121298
74,13.5,30,83,68.5,20.9,1.02338129496403,0.700125470514429
75.7,12.4,172,80,70.1,16.7,1.05413105413105,0.791255289139633
72.8,14.7,142,120,18.1,0,0.990939977349943,0.7171581769437
70,13.6,174,45,71.4,13.3,1.00791556728232,0.597812879708384
73.5,13.1,29,100,99.6,19.1,1.04708097928437,0.652671755725191
71.1,12.7,51,130,35.2,11.8,0.94692144373673,0.588662790697674
76.8,13,33,31,4.2,5.9,0.834862385321101,0.725161290322581
73.4,12.9,145,58,28.3,6.1,1.07166666666667,0.402397260273973
64.5,12.5,58,170,44.2,9.5,0.944801026957638,0.881127450980392
71.6,11.9,144,21,29.3,20.8,0.968944099378882,0.850678733031674
71.1,13.5,21,45,43,2.2,0.724422442244224,0.316844919786096
64.4,12.5,55,240,103,16.2,1.49307479224377,0.859327217125382
68.9,13,190,190,48.3,17.1,0.810975609756098,0.610451306413302
72.9,11.9,175,110,67,16.8,0.855813953488372,0.65683962264151
68.2,11.3,176,120,46.8,27.1,1.03453689167975,0.641154328732748
73,12.3,171,69,76,27.4,0.844036697247706,0.605063291139241
57.4,13.6,31,140,50.9,40.7,0.957839262187088,0.735537190082645
75.8,11.9,143,49,29,24.3,0.834269662921348,0.888077858880779
68.3,13.2,152,200,71.9,51.8,0.805414551607445,0.793572311495674
70.6,12.5,102,75,29.3,23.3,0.976239669421488,0.70440251572327
69.4,10.1,43,67,68.7,26.5,0.553784860557769,0.213467048710602
66.4,10.3,161,250,88.5,31.3,1.26150627615063,0.529192546583851
74.9,11.5,128,100,100.8,39.1,1.02872062663185,0.590286425902864
74,11.6,163,120,35.8,11,0.685430463576159,0.349604221635884
64.8,11.3,186,130,54.9,37.7,0.968023255813953,0.858712715855573
71.8,10.7,164,140,97.2,13.3,0.943965517241379,0.558956916099773
69.4,11.2,73,44,42.8,15.2,1.04276315789474,0.763942931258106
68,11.7,148,190,32.8,12.2,0.477031802120141,0.337922403003755
73.1,11.1,114,120,84,25.8,1.08527131782946,0.516284680337756
69.5,12.6,169,120,40.9,8.3,0.985507246376812,0.863989637305699
69.6,12.3,74,49,41.6,12.4,0.728395061728395,0.185694635488308
62.3,11.1,159,410,126.7,11.5,0.84468085106383,0.938356164383562
60.1,13.5,111,280,125.4,12.7,0.586363636363636,0.853971962616822
61.4,11.5,113,380,58.4,10.9,0.698608964451314,0.942577030812325
71.6,10,104,170,80.6,20,0.825665859564165,0.682520808561237
68.4,10.9,78,170,44.3,19,0.432314410480349,0.910982658959538
61.6,11,75,400,93.6,20.8,0.805732484076433,0.859116022099447
69.6,12.4,68,190,73.7,29.5,0.463350785340314,0.917336394948335
66.2,7.8,132,170,27.3,19.7,0.418655097613883,0.296743063932449
65.9,8.6,129,200,12.1,4.7,1.49673202614379,0.913730255164034
49,11.3,149,310,72,14.7,0.842307692307692,0.613128491620112
65,9.2,70,410,122.7,36,0.589473684210526,0.976718403547672
55.5,10.4,76,590,115.8,27.1,0.610315186246418,0.830729166666667
